Sector,Data Scientists,Managers
Mining And Quarrying,0,3
"Water Supply; Sewerage, Waste Management And Remediation Activities",2,5
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,13,19
Education,24,32
Public Administration And Defence; Compulsory Social Security,21,25
"Agriculture, Forestry And Fishing",3,3
(Blank - no response),1,1
Administrative And Support Service Activities,22,20
Human Health And Social Work Activities,21,17
Construction,8,6
Financial And Insurance Activities,22,16
"Professional, Scientific And Technical Activities",68,47
Accommodation And Food Service Activities,11,7
Information And Communication,80,50
"Arts, Entertainment And Recreation",13,8
Transportation And Storage,13,6
Manufacturing,28,10
"Electricity, Gas, Steam And Air Conditioning Supply",30,9
Real Estate Activities,7,2
Other Service Activities,15,4
